,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7449052403986647,0.029244494291143813,0.7432374184083911,0.02948535138260885
proposed,0.7407538176048873,0.027646347045351672,0.7390599739910539,0.027471720807269045
rf,0.5620796754621582,0.022361223716020392,0.3520353351511342,0.06310068293260103
nb,0.5481778112178679,0.08995048471639598,0.1854100567360779,0.27717072755936056
log+nb,0.7521244106004953,0.030703118354884987,0.7479955400428444,0.033534352441128464
sm+nb,0.5490478896146938,0.09137097052532496,0.1884453330389889,0.2799290266370153
rus+nb,0.6841894871796559,0.05506311176411226,0.6261508065634848,0.14417278375677633
SMTBoost,0.5763495788861578,0.02849266237515861,0.39669796283526,0.07357010227387145
RUSBoost,0.6263457836929696,0.06770735633596446,0.5989545937019417,0.09725458498510063
BalancedRF,0.7530466304507063,0.02638567432669954,0.7497674062519613,0.024581825909439577
log+BalancedRF,0.7605648998833872,0.02644849563564727,0.7567000654254193,0.02524515465860043
log+ERUS,0.732812023053957,0.025064667803755433,0.7318824827354481,0.025838805056227487
log+prop,0.7482670021233575,0.029724848347420275,0.7464415365671939,0.029192345135969737
