,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7402542316006907,0.02628248743382425,0.7350149148434776,0.028282027258155318
proposed,0.7379929882102859,0.02398846286097512,0.733518463940112,0.02665537580011977
rf,0.5219873188509467,0.012119766359756971,0.20641398348720053,0.06232938299638983
nb,0.6660784061832112,0.024298103222113367,0.6043023780294278,0.04011543570762123
log+nb,0.7368288430093853,0.028412511585470927,0.7186781006399403,0.03606560382502611
sm+nb,0.6934830804415903,0.02581524575395528,0.6502675438187595,0.03747748147369715
rus+nb,0.6797545887358832,0.031349574789571094,0.6415649236079746,0.047093822769120164
SMTBoost,0.5491061671361805,0.02457264520215733,0.3107485046928823,0.08771219262019045
RUSBoost,0.6165456221996549,0.040209779359633255,0.5532737481804618,0.08664051759447451
BalancedRF,0.7717670135042938,0.027422588177849767,0.7679878682731612,0.029691939237239402
log+BalancedRF,0.7700183231884007,0.02981746218164494,0.7660551910321083,0.03246320159151228
log+ERUS,0.7340216822626634,0.03478792271872709,0.7273721963737839,0.03914491933550683
log+prop,0.7388127898581207,0.031389258178933024,0.7333505981046652,0.03521877397064421
