,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7570929309690658,0.03262725644029955,0.7541126784190022,0.03541295623371463
proposed,0.7539377732793262,0.0350158551790218,0.7514214895265683,0.03787367774105787
rf,0.5579790640496327,0.02470545259945409,0.34568141849405715,0.07414640888253518
nb,0.7002723091094106,0.033716534939852605,0.6744523332272617,0.04989379428757325
log+nb,0.777166985005772,0.022873377577777108,0.7745815529337441,0.024638817624330824
sm+nb,0.6529298146149051,0.0893761333334774,0.5557959983316489,0.22145187466447144
rus+nb,0.7052650736325689,0.07640058561269564,0.6498799818602099,0.17818333774704656
SMTBoost,0.5866181585012497,0.03192257219394888,0.4258190871430913,0.07414720974799004
RUSBoost,0.6212946272343505,0.05618959637242727,0.5801794854211402,0.10139519199549622
BalancedRF,0.7587470691311462,0.02854548709340073,0.7576822523904777,0.028743406771780795
log+BalancedRF,0.7531005078468853,0.024154384030087538,0.7522534417985641,0.02427224303072231
log+ERUS,0.756691795631039,0.03800844805473198,0.7537508782394767,0.04079734580259045
log+prop,0.7603645052030462,0.033328619692101706,0.7579597104253695,0.036594535646177005
