,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7625770573486852,0.0294270510582554,0.761595688258406,0.02894585526153998
proposed,0.7556825600599376,0.03131844402113467,0.7542968526953671,0.03072187755787385
rf,0.5319300513118919,0.016687164992711192,0.2520184029886706,0.06211274597735126
nb,0.7007694296364784,0.03179991478221489,0.6538651223874762,0.04709052641732319
log+nb,0.780991359856842,0.02832258810331424,0.7758504755665762,0.03203609487150203
sm+nb,0.7201143250121971,0.03302055924794467,0.686073163723417,0.046067529144024746
rus+nb,0.7044851079975893,0.042329370209493164,0.6623541710549262,0.06406664177491059
SMTBoost,0.5444517447029547,0.02008306386819558,0.2986644907469729,0.06917641805039337
RUSBoost,0.6144953218037357,0.07409529818030006,0.5939857443963856,0.08799760190056803
BalancedRF,0.7695081333123677,0.027226790670810984,0.7683610804324152,0.026405075384668214
log+BalancedRF,0.7672325287181279,0.02608962158248157,0.7662349128411532,0.02534197477398762
log+ERUS,0.7625221983973085,0.02877148824329538,0.761626246954064,0.02858577201168031
log+prop,0.7567522573036427,0.027628674589496867,0.7556145767515716,0.027389173090478308
