,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7056799310748599,0.02488015669096858,0.6985082940027516,0.028071363407318625
proposed,0.7114815690127656,0.02696707576895533,0.707107396700097,0.029503372704318763
rf,0.5504596462841678,0.012156832891461869,0.32169676984206863,0.039159644686177546
nb,0.5073569589540371,0.00507715008636437,0.12503908721619014,0.04925909252076407
log+nb,0.7337583420954271,0.02403401895649732,0.7262502054847141,0.027329896596398853
sm+nb,0.5027052329727372,0.008870827137512659,0.1028975829762829,0.05649635748086961
rus+nb,0.5129917812265629,0.01279499754704268,0.1686272655459476,0.07143421032050706
SMTBoost,0.5691601391975686,0.018376293516848267,0.38316325123470896,0.04814673508357342
RUSBoost,0.6085368127908007,0.037014660994054364,0.5740698316990324,0.050135649385049136
BalancedRF,0.730689449076471,0.021429473420386678,0.7277780761563519,0.022969180841717663
log+BalancedRF,0.7324684843733568,0.023319276637980755,0.7299304927774957,0.024828098507779537
log+ERUS,0.7088925125370289,0.027430347630552254,0.7014442209515911,0.032514157556635566
log+prop,0.7102494532742591,0.024098180988686952,0.7058395628981152,0.026415232639024927
