,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7383237805609928,0.08481436839445303,0.7327644244189564,0.08547297849584493
proposed,0.7226289975314973,0.0763854854304646,0.7161160231763013,0.07543539156301031
rf,0.7539526662282591,0.09868572520071912,0.7100398482647073,0.1366767526564135
nb,0.752234023186021,0.09153433384507643,0.7233696785111469,0.11567795848518313
log+nb,0.8038277540412408,0.07427927961853065,0.8009142067776962,0.07587499659942322
sm+nb,0.769078096733524,0.08940196896741391,0.7466856723973173,0.11031157619350927
rus+nb,0.7801900936932438,0.08101715445923495,0.7665481631618372,0.09626472542382908
SMTBoost,0.7375853711186992,0.09357319086320123,0.6945003233924993,0.13223691141873542
RUSBoost,0.6381030890112256,0.11598949225511193,0.5953491284368033,0.15031857375831406
BalancedRF,0.7676746231177539,0.06427530518064317,0.7620988490814204,0.06290675856686095
log+BalancedRF,0.7555221028855919,0.06489138283380429,0.750340930017579,0.06453676245765684
log+ERUS,0.7318468060479815,0.07390814338992618,0.7261421984062623,0.07723847856285004
log+prop,0.7247952034662642,0.08272258994964567,0.7191815214750602,0.08164977682576947
