,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.6956826829227067,0.054668971750816885,0.6894481001820958,0.060768694750345825
proposed,0.7165658777346696,0.056783603258488025,0.7130083716385993,0.0581393906072754
rf,0.6489383007589625,0.04489107626486834,0.5550818488917487,0.08519742210822782
nb,0.5226166690968084,0.051838883078443664,0.1281781490689209,0.22358744057289567
log+nb,0.6725314829546887,0.05727665934232527,0.6469956091961793,0.07739018069205597
sm+nb,0.5243822479502098,0.054854539393552205,0.13224867041371471,0.2306176063604746
rus+nb,0.5979366292174105,0.05686237540766554,0.4559991795252834,0.17827169563454706
SMTBoost,0.654002017372264,0.046503285921232526,0.5788389525786528,0.07583097878936769
RUSBoost,0.6267718701308811,0.07566315695371975,0.5959633827672259,0.10260653083787892
BalancedRF,0.7453951480853365,0.057458696482102146,0.7423016241027651,0.05975301102107739
log+BalancedRF,0.7472615250624604,0.049249086071236875,0.7442251819801359,0.051003063074277044
log+ERUS,0.7125373654670788,0.0674668534195218,0.7075989364360723,0.07178003430502354
log+prop,0.7089646541789663,0.055529205000852004,0.7056065859200922,0.05779621393111823
