,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.6029339457344438,0.02398500837170948,0.5878875100612715,0.030798770175034414
proposed,0.6099650253709488,0.032644698866896874,0.6019046677954261,0.035913179864646885
rf,0.5184917960857308,0.009031852691138835,0.18899844370386373,0.050847249016454966
nb,0.4995283552779415,0.00908059733327676,0.07634462227893668,0.0638964095489428
log+nb,0.6336712767288403,0.02161154686951184,0.6015450587698157,0.0333061778355601
sm+nb,0.498355235762274,0.012451574948759243,0.1011368786008013,0.08817799096668058
rus+nb,0.5178313478968299,0.030625373376258824,0.18199542270568467,0.1311484653779314
SMTBoost,0.5234217310739812,0.012486253999841431,0.22841500011593824,0.05567576502310742
RUSBoost,0.5464857543959679,0.03882989582590489,0.4871708586251063,0.04827798511265912
BalancedRF,0.6362141944251658,0.02787536234700095,0.6263875963804906,0.03202889847368733
log+BalancedRF,0.6368235990126261,0.030086956037091415,0.6272639198744129,0.03413709756991661
log+ERUS,0.6080179617283233,0.02608677322252059,0.5959303690176422,0.03126286678021612
log+prop,0.6119094115607089,0.0334815031212675,0.6037859627103186,0.03633816226717009
