,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7073481838240202,0.038618679692325714,0.6938889024005771,0.04642577085677648
proposed,0.7059738436579621,0.03287773902909676,0.6958117147736662,0.036187667595730895
rf,0.5152933601730745,0.016530527607777783,0.1508290965786613,0.11198364117574834
nb,0.5099302894190133,0.013812485127669664,0.11652891564483155,0.10968536425284307
log+nb,0.7307065807236864,0.029730707779325925,0.7133312403611208,0.037033771697146764
sm+nb,0.515953533057635,0.016599764134977418,0.16450712311450905,0.11362267044000658
rus+nb,0.5502711135419105,0.02054524152222925,0.32667965699535795,0.07551631629386239
SMTBoost,0.5325767819736463,0.020364043274711027,0.2501541312416683,0.09872420534470157
RUSBoost,0.610769181629176,0.04609278840641167,0.5194880446874024,0.0942408779191064
BalancedRF,0.731928842463619,0.029422311380277538,0.7207365937084063,0.0349531340588015
log+BalancedRF,0.735494901497434,0.03212084147014406,0.7254706203278702,0.0371591339929535
log+ERUS,0.6900025568898357,0.04001781332445355,0.6747520781609131,0.0480008083219468
log+prop,0.7051864101744111,0.03800979706455715,0.6923321501524569,0.04704616017976339
