,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7934449036347948,0.04525292122702517,0.7910620194358127,0.04448495210998274
proposed,0.7857917426517245,0.033244856300466336,0.7795802855244096,0.03292077359685267
rf,0.7899499525781405,0.04869319574679753,0.7784098695802273,0.05728397419728904
nb,0.5430727386476356,0.08242426709181239,0.19615143508323296,0.2263748154405668
log+nb,0.7730031449842104,0.041906353383494174,0.7719712102158575,0.0421942480451577
sm+nb,0.5421663164644083,0.08014251321605292,0.19539283984349304,0.22441835600217544
rus+nb,0.5633402583674865,0.08955285034996167,0.2736990352678336,0.2372306634161557
SMTBoost,0.7507637422122515,0.05169889014755172,0.7377660272291865,0.060418570059583614
RUSBoost,0.7186244547759164,0.057965641691274175,0.7139503419727509,0.06174230038475295
BalancedRF,0.7957673433789102,0.041940437009693875,0.7927142228012655,0.04068375485118164
log+BalancedRF,0.7958828158058812,0.0392539324111727,0.7927099964299551,0.03841674446762012
log+ERUS,0.7968791073556968,0.03975685625794495,0.794467407290081,0.039341639098862694
log+prop,0.7896935430771697,0.032046585604838966,0.7841196473945761,0.03256381236440605
