,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7259425930400217,0.03196092052671755,0.7235073600551196,0.033753692276169193
proposed,0.7270497674859612,0.027323226665818674,0.7254543216789309,0.027185177853332475
rf,0.6708779464931469,0.027674677051967987,0.61234620309927,0.043231406252681986
nb,0.5179579483879996,0.01538139821270446,0.15929997034103865,0.10933652010442324
log+nb,0.7439487033688553,0.02540395196422089,0.7346211736495291,0.02947770183761305
sm+nb,0.5236131554457787,0.03726462850977557,0.17310403159415574,0.13960280950428924
rus+nb,0.522737064959783,0.018473295996826792,0.20135488500319068,0.10036573832199362
SMTBoost,0.6754448997746849,0.03303125434796587,0.6277269567116044,0.0483040182060438
RUSBoost,0.6454984969463007,0.05511965308145818,0.6335596729685113,0.062059434301052464
BalancedRF,0.7342165431895518,0.030306887480276025,0.7329381834928507,0.030030846726445147
log+BalancedRF,0.7376316447806623,0.028824969348890596,0.7361782798950529,0.02863878645690777
log+ERUS,0.7235787809103822,0.03245691937425413,0.7204688385704557,0.034884208751633485
log+prop,0.7238447325923625,0.025146470014133785,0.7222071434336332,0.02483191467934532
