,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7488179827542958,0.044733338252414635,0.7463868656711783,0.046918070172698036
proposed,0.7604130021903079,0.043087480018231934,0.7588795920787164,0.04398916526323349
rf,0.6356723976336436,0.03941521809448079,0.5339994287467675,0.07164187546203284
nb,0.5247314612561578,0.039046759334232205,0.20184232668620067,0.16246224802250855
log+nb,0.7769353601057822,0.045500527603715306,0.7745054905483562,0.04846668380014305
sm+nb,0.5392584175501562,0.08145608097553349,0.2658783774413727,0.22115565272072524
rus+nb,0.5509382047490539,0.04578038699481439,0.30747796507100017,0.16725130591934084
SMTBoost,0.6326599498925327,0.04072971238198147,0.540286402533997,0.07093987470631752
RUSBoost,0.5990802895542373,0.06620963101324495,0.5675605511415653,0.08380215025387801
BalancedRF,0.7674947848850598,0.0393806197511786,0.7659872444155174,0.040424387480134036
log+BalancedRF,0.7695258073253128,0.038682583980867755,0.7680631659668189,0.03939758477825615
log+ERUS,0.7514986529168184,0.04648190534206753,0.7481989172075485,0.04951640842094635
log+prop,0.7549045068044229,0.045095405635366036,0.7533469058856948,0.04569239693879608
