,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7617053119856527,0.0363583301117623,0.7595908496164463,0.03805184588901789
proposed,0.7446610564536922,0.03465557386724203,0.7431176499686906,0.034302314387932124
rf,0.6876452126731867,0.034692694085858906,0.6215021864034718,0.052950496710992494
nb,0.5097626214354759,0.023574033047682248,0.11589742315498025,0.146886998681481
log+nb,0.6998210632724391,0.0426474416247137,0.6856866721756789,0.04857427725903196
sm+nb,0.5162486329780053,0.032783129302281944,0.13732638587689056,0.1777304376781825
rus+nb,0.5086622390724891,0.022227162338776058,0.12569219440631568,0.1380285498620208
SMTBoost,0.6754349974317782,0.03372548781870748,0.6254973378020618,0.048221152208145324
RUSBoost,0.6759322496309179,0.06947917429247656,0.6619881852075155,0.07763459053301743
BalancedRF,0.7830285507150728,0.03137863913726849,0.7823075020278558,0.031384859994031546
log+BalancedRF,0.7891288408343422,0.0320821206342609,0.7883275655239012,0.032152225309807124
log+ERUS,0.7610568060032931,0.03112711585393,0.7592764901090844,0.0321926298247517
log+prop,0.7650048795332209,0.04261171662865182,0.7638544846306938,0.04210977797069161
