,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.6818494386500508,0.04057716859531202,0.6783598990939549,0.04361303073757259
proposed,0.7027548017803911,0.038621499670053,0.7012114672374525,0.038986049676878035
rf,0.6135376668167443,0.030677024562970633,0.5058180180594471,0.06027667259248574
nb,0.4979139306931,0.022483235313457518,0.06467594673080973,0.09228153612677402
log+nb,0.696256907705685,0.03641127260846861,0.6848250821906086,0.04360981951240093
sm+nb,0.4968975299693505,0.020290005573435733,0.06489883431305417,0.08575912685725312
rus+nb,0.5271801683287364,0.05009818681333848,0.1677391065001368,0.2034888058092272
SMTBoost,0.6180184033483649,0.03662884320979248,0.5251634431282037,0.06527732936828748
RUSBoost,0.6237846427111204,0.05072014418939204,0.6063127128403688,0.05827526277552472
BalancedRF,0.6900708357405079,0.04182529974571941,0.6862458640725067,0.04531182999941631
log+BalancedRF,0.68598199529059,0.03708848589167513,0.6821697649566151,0.04047124744236189
log+ERUS,0.6735508027271099,0.038519713899731814,0.6692655893635321,0.04223698464317947
log+prop,0.6886152633960336,0.04251420648853724,0.6867443947190214,0.043590702445416046
