,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7222171505881857,0.0346758686908114,0.7209612479869472,0.035663147926007395
proposed,0.7207269206748901,0.03931234078406187,0.719899618916096,0.0390439622992939
rf,0.6525101273046098,0.03349547068770279,0.5926272208490773,0.05381673209142111
nb,0.6606668738621582,0.04968529875119638,0.5994557725352874,0.07959083376591415
log+nb,0.7505182722909968,0.035188951844867415,0.7472225969431563,0.039477304930533946
sm+nb,0.6637186630444878,0.04920389987867421,0.6075233220865158,0.0760939215642787
rus+nb,0.6524846955219863,0.048439993197106984,0.5856578167362623,0.08301297737949641
SMTBoost,0.6612566374653961,0.04066645280513101,0.6097778833174242,0.06016959275439247
RUSBoost,0.6295305996111432,0.06396719341508303,0.601054695139886,0.1203603558667272
BalancedRF,0.7163594505235011,0.0368060841647627,0.7153720945305102,0.037263970766644255
log+BalancedRF,0.7157590094193025,0.03228618726964713,0.7150177564919458,0.032714709630846946
log+ERUS,0.7208258160607868,0.03717737025928149,0.7195875500841054,0.038086878810937995
log+prop,0.7271068432984763,0.035155743810570884,0.7258513642018926,0.034481522212265275
