,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.780533565822016,0.03727915966892272,0.7784830483988155,0.03593655610337145
proposed,0.7704605253411125,0.03927041519891344,0.7666135998146577,0.03733482315976845
rf,0.6948191784347715,0.04671067315087687,0.6517748618085745,0.06858947990400815
nb,0.69071836043759,0.05090031366378635,0.6444457074668225,0.07822392217815921
log+nb,0.7894773159402237,0.03888533069870311,0.7885758103194949,0.03921747478201276
sm+nb,0.7003540799230127,0.051905056558467375,0.6593877093383471,0.07957701838678474
rus+nb,0.6884027744958778,0.05286713492179139,0.642053304618899,0.08363651959704622
SMTBoost,0.7103651478494454,0.044523470253395404,0.6771899826286211,0.06287078027596754
RUSBoost,0.6435653283387872,0.08712207987975702,0.6279861929523715,0.11421228500645553
BalancedRF,0.789928598469418,0.032579794935292616,0.7857094259619568,0.03131721999217446
log+BalancedRF,0.7875038626355779,0.031519099187709274,0.7829574960212634,0.029447316709711197
log+ERUS,0.7833399132809763,0.03631783191786808,0.7815147633213797,0.03490718856295526
log+prop,0.7798676819745609,0.03856330506443845,0.7767917055650836,0.03713110430776148
