,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7146527128029508,0.05304275150207784,0.7109356787258408,0.05755756059816435
proposed,0.710272272318455,0.04765778073916545,0.7075006369624581,0.05126462952703286
rf,0.5135106502049018,0.014735797916621088,0.12338966025324888,0.11605272525750153
nb,0.6630432851496457,0.05418700614264962,0.6037002589126756,0.08868716021918659
log+nb,0.7415503963340127,0.042830165563142036,0.7380577039034781,0.04507958273378552
sm+nb,0.6948059165724588,0.0569355521203299,0.6645965179374859,0.08189685449117234
rus+nb,0.6817093102972859,0.05019831411994971,0.6482638530094593,0.0738743265197989
SMTBoost,0.5133418277124051,0.015427458698671329,0.15189858059202696,0.11190817407775024
RUSBoost,0.6037807352185963,0.07077181170367736,0.5497480969020085,0.136278376704291
BalancedRF,0.7548493647517398,0.04113518956491582,0.7528557807195023,0.04013205190974612
log+BalancedRF,0.7567470233813067,0.039354588600873354,0.7545055398731695,0.0381629878809696
log+ERUS,0.7092163775631343,0.05242372882417429,0.7047007593250798,0.060711219989432144
log+prop,0.7179217142148593,0.05157516769211589,0.7152887683740848,0.05408960420064456
