,movie,year,imdb,metascore,votes
0,Gladiator,(2000),8.5,67,1227358
1,Memento,(2000),8.4,80,1040921
2,Snatch,(2000),8.3,55,726145
3,Requiem for a Dream,(2000),8.3,68,707720
4,X-Men,(2000),7.4,64,541485
5,Cast Away,(2000),7.8,73,478057
6,American Psycho,(2000),7.6,64,436743
7,Unbreakable,(2000),7.3,62,357795
8,Meet the Parents,(2000),7.0,73,294864
9,Mission: Impossible II,(2000),6.1,59,293713
10,"O Brother, Where Art Thou?",(2000),7.7,69,266847
11,Gone in 60 Seconds,(2000),6.5,35,247629
12,"Crouching Tiger, Hidden Dragon",(2000),7.8,93,241514
13,The Patriot,(2000),7.2,63,239489
14,Almost Famous,(2000),7.9,90,236631
15,Scary Movie,(2000),6.2,48,216651
16,Pitch Black,(2000),7.1,49,215280
17,Final Destination,(2000),6.7,36,213365
18,"Me, Myself & Irene",(2000),6.6,49,211223
19,The Beach,(I) (2000),6.7,43,210187
20,Amores Perros,(2000),8.1,83,208615
21,Traffic,(2000),7.6,86,187174
22,Remember the Titans,(2000),7.8,48,185736
23,How the Grinch Stole Christmas,(2000),6.1,46,184860
24,What Women Want,(2000),6.4,47,181786
25,Miss Congeniality,(2000),6.2,43,171812
26,Chocolat,(2000),7.2,64,169301
27,Chicken Run,(2000),7.0,88,165463
28,Charlie's Angels,(2000),5.5,52,164750
29,The Emperor's New Groove,(2000),7.3,70,163663
30,Erin Brockovich,(2000),7.3,73,160473
31,Battle Royale,(2000),7.6,81,160284
32,High Fidelity,(2000),7.5,79,159376
33,Road Trip,(2000),6.4,55,149389
34,The Perfect Storm,(2000),6.4,59,147994
35,"Dude, Where's My Car?",(2000),5.5,30,129285
36,Billy Elliot,(2000),7.7,74,116697
37,Hollow Man,(2000),5.8,24,115667
38,Scream 3,(2000),5.5,56,115357
39,Shanghai Noon,(2000),6.5,77,112777
40,The 6th Day,(2000),5.9,49,111320
41,What Lies Beneath,(2000),6.6,51,111142
42,Pay It Forward,(2000),7.2,40,107800
43,In the Mood for Love,(2000),8.1,85,107506
44,The Whole Nine Yards,(2000),6.7,47,103674
45,Coyote Ugly,(2000),5.7,27,101589
46,Men of Honor,(2000),7.2,56,101564
47,The Family Man,(2000),6.8,42,97574
48,Frequency,(2000),7.3,67,95304
49,Gladiator,(2000),8.5,67,1227358
50,Memento,(2000),8.4,80,1040921
51,Snatch,(2000),8.3,55,726145
52,Requiem for a Dream,(2000),8.3,68,707720
53,X-Men,(2000),7.4,64,541485
54,Cast Away,(2000),7.8,73,478057
55,American Psycho,(2000),7.6,64,436743
56,Unbreakable,(2000),7.3,62,357795
57,Meet the Parents,(2000),7.0,73,294864
58,Mission: Impossible II,(2000),6.1,59,293713
59,"O Brother, Where Art Thou?",(2000),7.7,69,266847
60,Gone in 60 Seconds,(2000),6.5,35,247629
61,"Crouching Tiger, Hidden Dragon",(2000),7.8,93,241514
62,The Patriot,(2000),7.2,63,239489
63,Almost Famous,(2000),7.9,90,236631
64,Scary Movie,(2000),6.2,48,216651
65,Pitch Black,(2000),7.1,49,215280
66,Final Destination,(2000),6.7,36,213365
67,"Me, Myself & Irene",(2000),6.6,49,211223
68,The Beach,(I) (2000),6.7,43,210187
69,Amores Perros,(2000),8.1,83,208615
70,Traffic,(2000),7.6,86,187174
71,Remember the Titans,(2000),7.8,48,185736
72,How the Grinch Stole Christmas,(2000),6.1,46,184860
73,What Women Want,(2000),6.4,47,181786
74,Miss Congeniality,(2000),6.2,43,171812
75,Chocolat,(2000),7.2,64,169301
76,Chicken Run,(2000),7.0,88,165463
77,Charlie's Angels,(2000),5.5,52,164750
78,The Emperor's New Groove,(2000),7.3,70,163663
79,Erin Brockovich,(2000),7.3,73,160473
80,Battle Royale,(2000),7.6,81,160284
81,High Fidelity,(2000),7.5,79,159376
82,Road Trip,(2000),6.4,55,149389
83,The Perfect Storm,(2000),6.4,59,147994
84,"Dude, Where's My Car?",(2000),5.5,30,129285
85,Billy Elliot,(2000),7.7,74,116697
86,Hollow Man,(2000),5.8,24,115667
87,Scream 3,(2000),5.5,56,115357
88,Shanghai Noon,(2000),6.5,77,112777
89,The 6th Day,(2000),5.9,49,111320
90,What Lies Beneath,(2000),6.6,51,111142
91,Pay It Forward,(2000),7.2,40,107800
92,In the Mood for Love,(2000),8.1,85,107506
93,The Whole Nine Yards,(2000),6.7,47,103674
94,Coyote Ugly,(2000),5.7,27,101589
95,Men of Honor,(2000),7.2,56,101564
96,The Family Man,(2000),6.8,42,97574
97,Frequency,(2000),7.3,67,95304
98,Gladiator,(2000),8.5,67,1227358
99,Memento,(2000),8.4,80,1040921
100,Snatch,(2000),8.3,55,726145
101,Requiem for a Dream,(2000),8.3,68,707720
102,X-Men,(2000),7.4,64,541485
103,Cast Away,(2000),7.8,73,478057
104,American Psycho,(2000),7.6,64,436743
105,Unbreakable,(2000),7.3,62,357795
106,Meet the Parents,(2000),7.0,73,294864
107,Mission: Impossible II,(2000),6.1,59,293713
108,"O Brother, Where Art Thou?",(2000),7.7,69,266847
109,Gone in 60 Seconds,(2000),6.5,35,247629
110,"Crouching Tiger, Hidden Dragon",(2000),7.8,93,241514
111,The Patriot,(2000),7.2,63,239489
112,Almost Famous,(2000),7.9,90,236631
113,Scary Movie,(2000),6.2,48,216651
114,Pitch Black,(2000),7.1,49,215280
115,Final Destination,(2000),6.7,36,213365
116,"Me, Myself & Irene",(2000),6.6,49,211223
117,The Beach,(I) (2000),6.7,43,210187
118,Amores Perros,(2000),8.1,83,208615
119,Traffic,(2000),7.6,86,187174
120,Remember the Titans,(2000),7.8,48,185736
121,How the Grinch Stole Christmas,(2000),6.1,46,184860
122,What Women Want,(2000),6.4,47,181786
123,Miss Congeniality,(2000),6.2,43,171812
124,Chocolat,(2000),7.2,64,169301
125,Chicken Run,(2000),7.0,88,165463
126,Charlie's Angels,(2000),5.5,52,164750
127,The Emperor's New Groove,(2000),7.3,70,163663
128,Erin Brockovich,(2000),7.3,73,160473
129,Battle Royale,(2000),7.6,81,160284
130,High Fidelity,(2000),7.5,79,159376
131,Road Trip,(2000),6.4,55,149389
132,The Perfect Storm,(2000),6.4,59,147994
133,"Dude, Where's My Car?",(2000),5.5,30,129285
134,Billy Elliot,(2000),7.7,74,116697
135,Hollow Man,(2000),5.8,24,115667
136,Scream 3,(2000),5.5,56,115357
137,Shanghai Noon,(2000),6.5,77,112777
138,The 6th Day,(2000),5.9,49,111320
139,What Lies Beneath,(2000),6.6,51,111142
140,Pay It Forward,(2000),7.2,40,107800
141,In the Mood for Love,(2000),8.1,85,107506
142,The Whole Nine Yards,(2000),6.7,47,103674
143,Coyote Ugly,(2000),5.7,27,101589
144,Men of Honor,(2000),7.2,56,101564
145,The Family Man,(2000),6.8,42,97574
146,Frequency,(2000),7.3,67,95304
147,Gladiator,(2000),8.5,67,1227358
148,Memento,(2000),8.4,80,1040921
149,Snatch,(2000),8.3,55,726145
150,Requiem for a Dream,(2000),8.3,68,707720
151,X-Men,(2000),7.4,64,541485
152,Cast Away,(2000),7.8,73,478057
153,American Psycho,(2000),7.6,64,436743
154,Unbreakable,(2000),7.3,62,357795
155,Meet the Parents,(2000),7.0,73,294864
156,Mission: Impossible II,(2000),6.1,59,293713
157,"O Brother, Where Art Thou?",(2000),7.7,69,266847
158,Gone in 60 Seconds,(2000),6.5,35,247629
159,"Crouching Tiger, Hidden Dragon",(2000),7.8,93,241514
160,The Patriot,(2000),7.2,63,239489
161,Almost Famous,(2000),7.9,90,236631
162,Scary Movie,(2000),6.2,48,216651
163,Pitch Black,(2000),7.1,49,215280
164,Final Destination,(2000),6.7,36,213365
165,"Me, Myself & Irene",(2000),6.6,49,211223
166,The Beach,(I) (2000),6.7,43,210187
167,Amores Perros,(2000),8.1,83,208615
168,Traffic,(2000),7.6,86,187174
169,Remember the Titans,(2000),7.8,48,185736
170,How the Grinch Stole Christmas,(2000),6.1,46,184860
171,What Women Want,(2000),6.4,47,181786
172,Miss Congeniality,(2000),6.2,43,171812
173,Chocolat,(2000),7.2,64,169301
174,Chicken Run,(2000),7.0,88,165463
175,Charlie's Angels,(2000),5.5,52,164750
176,The Emperor's New Groove,(2000),7.3,70,163663
177,Erin Brockovich,(2000),7.3,73,160473
178,Battle Royale,(2000),7.6,81,160284
179,High Fidelity,(2000),7.5,79,159376
180,Road Trip,(2000),6.4,55,149389
181,The Perfect Storm,(2000),6.4,59,147994
182,"Dude, Where's My Car?",(2000),5.5,30,129285
183,Billy Elliot,(2000),7.7,74,116697
184,Hollow Man,(2000),5.8,24,115667
185,Scream 3,(2000),5.5,56,115357
186,Shanghai Noon,(2000),6.5,77,112777
187,The 6th Day,(2000),5.9,49,111320
188,What Lies Beneath,(2000),6.6,51,111142
189,Pay It Forward,(2000),7.2,40,107800
190,In the Mood for Love,(2000),8.1,85,107506
191,The Whole Nine Yards,(2000),6.7,47,103674
192,Coyote Ugly,(2000),5.7,27,101589
193,Men of Honor,(2000),7.2,56,101564
194,The Family Man,(2000),6.8,42,97574
195,Frequency,(2000),7.3,67,95304
196,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92,1528103
197,A Beautiful Mind,(2001),8.2,72,779379
198,"Monsters, Inc.",(2001),8.0,78,749593
199,Donnie Darko,(2001),8.0,71,703716
200,Amélie,(2001),8.3,69,658341
201,Harry Potter and the Sorcerer's Stone,(2001),7.6,64,577110
202,Shrek,(2001),7.8,84,569106
203,Spirited Away,(2001),8.6,96,567134
204,Ocean's Eleven,(2001),7.8,74,478323
205,Training Day,(2001),7.7,69,360229
206,Black Hawk Down,(2001),7.7,74,342717
207,The Fast and the Furious,(2001),6.8,58,324371
208,The Others,(2001),7.6,74,316223
209,Pearl Harbor,(2001),6.2,44,295103
210,Mulholland Drive,(2001),7.9,83,293717
211,The Mummy Returns,(2001),6.3,48,286229
212,Jurassic Park III,(2001),5.9,42,277259
213,A.I. Artificial Intelligence,(2001),7.2,65,276428
214,Moulin Rouge!,(2001),7.6,66,253483
215,The Royal Tenenbaums,(2001),7.6,76,247805
216,Hannibal,(2001),6.8,57,238743
217,Vanilla Sky,(2001),6.9,45,235838
218,Zoolander,(2001),6.6,61,233166
219,American Pie 2,(2001),6.4,43,227127
220,Enemy at the Gates,(2001),7.6,53,226739
221,Blow,(2001),7.6,52,225658
222,Bridget Jones's Diary,(2001),6.7,66,208800
223,Planet of the Apes,(2001),5.7,50,202600
224,Rush Hour 2,(2001),6.6,48,187249
225,Lara Croft: Tomb Raider,(2001),5.8,33,187046
226,Swordfish,(2001),6.5,32,169847
227,K-PAX,(2001),7.4,49,167998
228,Legally Blonde,(2001),6.2,59,167864
229,A Knight's Tale,(2001),6.9,56,158916
230,Jay and Silent Bob Strike Back,(2001),6.8,51,142143
231,From Hell,(2001),6.8,54,140233
232,Scary Movie 2,(2001),5.3,29,139764
233,I Am Sam,(2001),7.6,28,136709
234,Spy Game,(2001),7.1,63,136702
235,Shallow Hal,(2001),5.9,48,121555
236,The Princess Diaries,(2001),6.3,52,117654
237,The Score,(2001),6.8,71,113819
238,Evolution,(2001),6.1,40,113752
239,Y Tu Mamá También,(2001),7.6,88,108110
240,Ghost World,(2001),7.3,88,107508
241,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92,1528103
242,A Beautiful Mind,(2001),8.2,72,779379
243,"Monsters, Inc.",(2001),8.0,78,749593
244,Donnie Darko,(2001),8.0,71,703716
245,Amélie,(2001),8.3,69,658341
246,Harry Potter and the Sorcerer's Stone,(2001),7.6,64,577110
247,Shrek,(2001),7.8,84,569106
248,Spirited Away,(2001),8.6,96,567134
249,Ocean's Eleven,(2001),7.8,74,478323
250,Training Day,(2001),7.7,69,360229
251,Black Hawk Down,(2001),7.7,74,342717
252,The Fast and the Furious,(2001),6.8,58,324371
253,The Others,(2001),7.6,74,316223
254,Pearl Harbor,(2001),6.2,44,295103
255,Mulholland Drive,(2001),7.9,83,293717
256,The Mummy Returns,(2001),6.3,48,286229
257,Jurassic Park III,(2001),5.9,42,277259
258,A.I. Artificial Intelligence,(2001),7.2,65,276428
259,Moulin Rouge!,(2001),7.6,66,253483
260,The Royal Tenenbaums,(2001),7.6,76,247805
261,Hannibal,(2001),6.8,57,238743
262,Vanilla Sky,(2001),6.9,45,235838
263,Zoolander,(2001),6.6,61,233166
264,American Pie 2,(2001),6.4,43,227127
265,Enemy at the Gates,(2001),7.6,53,226739
266,Blow,(2001),7.6,52,225658
267,Bridget Jones's Diary,(2001),6.7,66,208800
268,Planet of the Apes,(2001),5.7,50,202600
269,Rush Hour 2,(2001),6.6,48,187249
270,Lara Croft: Tomb Raider,(2001),5.8,33,187046
271,Swordfish,(2001),6.5,32,169847
272,K-PAX,(2001),7.4,49,167998
273,Legally Blonde,(2001),6.2,59,167864
274,A Knight's Tale,(2001),6.9,56,158916
275,Jay and Silent Bob Strike Back,(2001),6.8,51,142143
276,From Hell,(2001),6.8,54,140233
277,Scary Movie 2,(2001),5.3,29,139764
278,I Am Sam,(2001),7.6,28,136709
279,Spy Game,(2001),7.1,63,136702
280,Shallow Hal,(2001),5.9,48,121555
281,The Princess Diaries,(2001),6.3,52,117654
282,The Score,(2001),6.8,71,113819
283,Evolution,(2001),6.1,40,113752
284,Y Tu Mamá También,(2001),7.6,88,108110
285,Ghost World,(2001),7.3,88,107508
286,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92,1528103
287,A Beautiful Mind,(2001),8.2,72,779379
288,"Monsters, Inc.",(2001),8.0,78,749593
289,Donnie Darko,(2001),8.0,71,703716
290,Amélie,(2001),8.3,69,658341
291,Harry Potter and the Sorcerer's Stone,(2001),7.6,64,577110
292,Shrek,(2001),7.8,84,569106
293,Spirited Away,(2001),8.6,96,567134
294,Ocean's Eleven,(2001),7.8,74,478323
295,Training Day,(2001),7.7,69,360229
296,Black Hawk Down,(2001),7.7,74,342717
297,The Fast and the Furious,(2001),6.8,58,324371
298,The Others,(2001),7.6,74,316223
299,Pearl Harbor,(2001),6.2,44,295103
300,Mulholland Drive,(2001),7.9,83,293717
301,The Mummy Returns,(2001),6.3,48,286229
302,Jurassic Park III,(2001),5.9,42,277259
303,A.I. Artificial Intelligence,(2001),7.2,65,276428
304,Moulin Rouge!,(2001),7.6,66,253483
305,The Royal Tenenbaums,(2001),7.6,76,247805
306,Hannibal,(2001),6.8,57,238743
307,Vanilla Sky,(2001),6.9,45,235838
308,Zoolander,(2001),6.6,61,233166
309,American Pie 2,(2001),6.4,43,227127
310,Enemy at the Gates,(2001),7.6,53,226739
311,Blow,(2001),7.6,52,225658
312,Bridget Jones's Diary,(2001),6.7,66,208800
313,Planet of the Apes,(2001),5.7,50,202600
314,Rush Hour 2,(2001),6.6,48,187249
315,Lara Croft: Tomb Raider,(2001),5.8,33,187046
316,Swordfish,(2001),6.5,32,169847
317,K-PAX,(2001),7.4,49,167998
318,Legally Blonde,(2001),6.2,59,167864
319,A Knight's Tale,(2001),6.9,56,158916
320,Jay and Silent Bob Strike Back,(2001),6.8,51,142143
321,From Hell,(2001),6.8,54,140233
322,Scary Movie 2,(2001),5.3,29,139764
323,I Am Sam,(2001),7.6,28,136709
324,Spy Game,(2001),7.1,63,136702
325,Shallow Hal,(2001),5.9,48,121555
326,The Princess Diaries,(2001),6.3,52,117654
327,The Score,(2001),6.8,71,113819
328,Evolution,(2001),6.1,40,113752
329,Y Tu Mamá También,(2001),7.6,88,108110
330,Ghost World,(2001),7.3,88,107508
331,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,92,1528103
332,A Beautiful Mind,(2001),8.2,72,779379
333,"Monsters, Inc.",(2001),8.0,78,749593
334,Donnie Darko,(2001),8.0,71,703716
335,Amélie,(2001),8.3,69,658341
336,Harry Potter and the Sorcerer's Stone,(2001),7.6,64,577110
337,Shrek,(2001),7.8,84,569106
338,Spirited Away,(2001),8.6,96,567134
339,Ocean's Eleven,(2001),7.8,74,478323
340,Training Day,(2001),7.7,69,360229
341,Black Hawk Down,(2001),7.7,74,342717
342,The Fast and the Furious,(2001),6.8,58,324371
343,The Others,(2001),7.6,74,316223
344,Pearl Harbor,(2001),6.2,44,295103
345,Mulholland Drive,(2001),7.9,83,293717
346,The Mummy Returns,(2001),6.3,48,286229
347,Jurassic Park III,(2001),5.9,42,277259
348,A.I. Artificial Intelligence,(2001),7.2,65,276428
349,Moulin Rouge!,(2001),7.6,66,253483
350,The Royal Tenenbaums,(2001),7.6,76,247805
351,Hannibal,(2001),6.8,57,238743
352,Vanilla Sky,(2001),6.9,45,235838
353,Zoolander,(2001),6.6,61,233166
354,American Pie 2,(2001),6.4,43,227127
355,Enemy at the Gates,(2001),7.6,53,226739
356,Blow,(2001),7.6,52,225658
357,Bridget Jones's Diary,(2001),6.7,66,208800
358,Planet of the Apes,(2001),5.7,50,202600
359,Rush Hour 2,(2001),6.6,48,187249
360,Lara Croft: Tomb Raider,(2001),5.8,33,187046
361,Swordfish,(2001),6.5,32,169847
362,K-PAX,(2001),7.4,49,167998
363,Legally Blonde,(2001),6.2,59,167864
364,A Knight's Tale,(2001),6.9,56,158916
365,Jay and Silent Bob Strike Back,(2001),6.8,51,142143
366,From Hell,(2001),6.8,54,140233
367,Scary Movie 2,(2001),5.3,29,139764
368,I Am Sam,(2001),7.6,28,136709
369,Spy Game,(2001),7.1,63,136702
370,Shallow Hal,(2001),5.9,48,121555
371,The Princess Diaries,(2001),6.3,52,117654
372,The Score,(2001),6.8,71,113819
373,Evolution,(2001),6.1,40,113752
374,Y Tu Mamá También,(2001),7.6,88,108110
375,Ghost World,(2001),7.3,88,107508
376,The Lord of the Rings: The Two Towers,(2002),8.7,87,1367902
377,Catch Me If You Can,(2002),8.1,75,731230
378,The Pianist,(2002),8.5,85,653388
379,City of God,(2002),8.6,79,651672
380,Spider-Man,(2002),7.3,73,647220
381,Star Wars: Episode II - Attack of the Clones,(2002),6.6,54,581038
382,Harry Potter and the Chamber of Secrets,(2002),7.4,63,499444
383,The Bourne Identity,(2002),7.9,68,478761
384,Minority Report,(2002),7.6,80,473996
385,Ice Age,(2002),7.5,60,407430
386,Gangs of New York,(2002),7.5,72,375341
387,28 Days Later...,(2002),7.6,73,348625
